,precision,recall,f1-score,support
0,0.5714285714285714,0.5,0.5333333333333333,8.0
1,0.5,0.2857142857142857,0.36363636363636365,7.0
2,0.375,0.3,0.33333333333333326,10.0
3,0.25,0.5,0.3333333333333333,8.0
4,0.0,0.0,0.0,3.0
5,0.4,0.4,0.4000000000000001,10.0
accuracy,0.3695652173913043,0.3695652173913043,0.3695652173913043,0.3695652173913043
macro avg,0.34940476190476194,0.33095238095238094,0.32727272727272727,46.0
weighted avg,0.3874223602484472,0.3695652173913043,0.3654808959156785,46.0
