,precision,recall,f1-score,support
0,0.47368421052631576,0.8181818181818182,0.6,11.0
1,0.45454545454545453,0.5555555555555556,0.5,9.0
2,0.75,0.5625,0.6428571428571429,16.0
3,0.5454545454545454,0.5454545454545454,0.5454545454545454,11.0
4,1.0,0.2,0.33333333333333337,10.0
5,0.6428571428571429,0.75,0.6923076923076924,12.0
accuracy,0.5797101449275363,0.5797101449275363,0.5797101449275363,0.5797101449275363
macro avg,0.6444235588972431,0.5719486531986532,0.5523254523254524,69.0
weighted avg,0.6524017553765837,0.5797101449275363,0.5656049264744917,69.0
