,precision,recall,f1-score,support
0,0.3939393939393939,0.8666666666666667,0.5416666666666666,15.0
1,0.8571428571428571,0.375,0.5217391304347825,16.0
2,0.6,0.5454545454545454,0.5714285714285713,11.0
3,0.42857142857142855,0.3333333333333333,0.375,9.0
4,1.0,0.16666666666666666,0.2857142857142857,6.0
5,0.5454545454545454,0.5,0.5217391304347826,12.0
accuracy,0.5072463768115942,0.5072463768115942,0.5072463768115942,0.5072463768115942
macro avg,0.6375180375180375,0.464520202020202,0.46954796411318145,69.0
weighted avg,0.61776773950687,0.5072463768115942,0.494328922495274,69.0
