,precision,recall,f1-score,support
0,0.4,0.7692307692307693,0.5263157894736842,13.0
1,0.4,0.2857142857142857,0.3333333333333333,14.0
2,0.5,0.5454545454545454,0.5217391304347826,11.0
3,0.3,0.2727272727272727,0.28571428571428564,11.0
4,1.0,0.1111111111111111,0.19999999999999998,9.0
5,0.45454545454545453,0.45454545454545453,0.45454545454545453,11.0
accuracy,0.42028985507246375,0.42028985507246375,0.42028985507246375,0.42028985507246375
macro avg,0.5090909090909091,0.40646390646390645,0.3869413322502567,69.0
weighted avg,0.48695652173913045,0.42028985507246375,0.39406897836904803,69.0
